batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_pair_count,median_pair_count,max_factor_missing_count,max_label_missing_count,rank_ic_ir
alpha360_009,alpha360_OPEN30,1273,0.07789874403923779,0.1705759234602906,0,1991.0,24,2000,0.45668076982372197
alpha360_009,alpha360_OPEN31,1273,0.07840544162762413,0.17141348323619754,0,1991.0,23,2000,0.45740533444260106
alpha360_009,alpha360_OPEN32,1273,0.07865764677699902,0.17182118901269253,0,1991.0,23,2000,0.4577878155131876
alpha360_009,alpha360_OPEN33,1273,0.07882290341012063,0.1722164082802267,0,1991.0,24,2000,0.4576968257395182
alpha360_009,alpha360_OPEN34,1273,0.07915854648524684,0.17244354080300153,0,1991.0,23,2000,0.45904036832366535
alpha360_009,alpha360_OPEN35,1273,0.07950545915563584,0.17213940505924522,0,1991.0,23,2000,0.4618667011674198
alpha360_009,alpha360_OPEN36,1273,0.07980740755963538,0.1722426100387506,0,1991.0,23,2000,0.46334299939881635
alpha360_009,alpha360_OPEN37,1273,0.0797176483289162,0.17221996923416608,0,1991.0,23,2000,0.46288272308610606
alpha360_009,alpha360_OPEN38,1273,0.07926188959366617,0.17187997802266902,0,1991.0,22,2000,0.4611467286970006
alpha360_009,alpha360_OPEN39,1273,0.07850674364501108,0.17192807220081047,0,1991.0,22,2000,0.4566255099592805
alpha360_009,alpha360_OPEN4,1273,0.029274465504997918,0.15032594381081232,0,1993.0,24,2000,0.19473994150896745
alpha360_009,alpha360_OPEN40,1273,0.07775979889860252,0.17182452296366135,0,1991.0,23,2000,0.45255355613615
alpha360_009,alpha360_OPEN41,1273,0.0771674578123917,0.17147451039924194,0,1991.0,24,2000,0.4500229079687919
alpha360_009,alpha360_OPEN42,1273,0.0766952255813561,0.17106904250274765,0,1991.0,23,2000,0.44832907497055896
alpha360_009,alpha360_OPEN43,1273,0.07619233697846234,0.17083771252279692,0,1991.0,24,2000,0.4459924910800657
alpha360_009,alpha360_OPEN44,1273,0.07537395274647746,0.1700748665609205,0,1991.0,24,2000,0.44318101945697336
alpha360_009,alpha360_OPEN45,1273,0.07465289961234291,0.16970474545609338,0,1991.0,23,2000,0.43989871592398916
alpha360_009,alpha360_OPEN46,1273,0.07388811843798912,0.16962779082552357,0,1991.0,24,2000,0.43558969953213184
alpha360_009,alpha360_OPEN47,1273,0.073193810879516,0.16957763861973893,0,1991.0,24,2000,0.43162418981223033
alpha360_009,alpha360_OPEN48,1273,0.0726023755392766,0.16917078321634957,0,1991.0,23,2000,0.42916616072189423
alpha360_009,alpha360_OPEN49,1273,0.0724221195410492,0.1686053285351749,0,1991.0,22,2000,0.4295363626419452
alpha360_009,alpha360_OPEN5,1273,0.032452854542120414,0.1503702226332742,0,1992.0,25,2000,0.21581968805929788
alpha360_010,alpha360_OPEN50,1273,0.0721877259185815,0.16805372388033255,0,1991.0,23,2000,0.42955148063237697
alpha360_010,alpha360_OPEN51,1273,0.07175245751902898,0.167537150314644,0,1991.0,23,2000,0.4282778917050571
alpha360_010,alpha360_OPEN52,1273,0.0710663454395573,0.16751536855019375,0,1991.0,22,2000,0.4242377642995975
alpha360_010,alpha360_OPEN53,1273,0.07040590131707959,0.16760224958620454,0,1991.0,21,2000,0.42007730499385104
alpha360_010,alpha360_OPEN54,1273,0.06970607708996249,0.16787556113242133,0,1991.0,22,2000,0.41522468559302617
alpha360_010,alpha360_OPEN55,1273,0.06884585505656787,0.16866535695556029,0,1991.0,22,2000,0.40818017581824634
alpha360_010,alpha360_OPEN56,1273,0.06809367360005233,0.1696567983277841,0,1991.0,22,2000,0.40136130276661525
alpha360_010,alpha360_OPEN57,1273,0.06754457129927396,0.17027854727315245,0,1991.0,22,2000,0.3966710568121203
alpha360_010,alpha360_OPEN58,1273,0.06731464352870473,0.17090639779323877,0,1991.0,22,2000,0.39386848238496874
alpha360_010,alpha360_OPEN59,1273,0.06710937478585144,0.17160250157712892,0,1991.0,25,2000,0.39107457157719977
alpha360_010,alpha360_OPEN6,1273,0.03614951592798869,0.1501602058969438,0,1992.0,27,2000,0.24073965343919687
alpha360_010,alpha360_OPEN7,1273,0.03914618713876962,0.1507286547202216,0,1992.0,27,2000,0.2597129736972157
alpha360_010,alpha360_OPEN8,1273,0.041899242857255915,0.15156169648498038,0,1992.0,26,2000,0.27645007827824153
alpha360_010,alpha360_OPEN9,1273,0.04464270157080861,0.15271178266822488,0,1992.0,26,2000,0.2923330524390344
